,Cluster,age,Years_Enrolled,age_divide,Recency,Income,Total_Expenses,Savings,economic_status,Qualification,togetherness,family,children,Kidhome,MntWines,Teenhome,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Ttl_Campaign,Ttl_no_Purchase,Deals_Purchase_Ratio,Store_Purchase_Ratio,Web_Purchase_Ratio,Catalogue_Purchase_Ratio,avg_web_visits,Ttl_place_purchase
654,Low,60,11,MiddleAge,frequent,56253.0,597,55656.0,Lower middle,Graduate,yes,yes,1,0,509,1,0,65,7,11,5,4,7,2,9,6,no,no,no,no,no,no,no,0,22,0.18181818181818182,0.4090909090909091,0.3181818181818182,0.09090909090909091,0.5,22
655,Lowest,38,10,Young,frequent,19986.0,28,19958.0,Low,Graduate,yes,yes,1,1,3,0,6,5,0,2,6,1,0,0,3,7,no,no,no,no,no,no,no,0,4,0.25,0.75,0.0,0.0,0.5833333333333334,4
656,Upper middle class,48,10,MiddleAge,frequent,58330.0,1117,57213.0,Upper middle,Graduate,no,no,1,0,445,1,53,213,104,98,151,1,6,4,13,4,no,no,no,no,no,no,no,0,24,0.041666666666666664,0.5416666666666666,0.25,0.16666666666666666,0.3333333333333333,24
657,Lowest,43,11,Young,not frequent,25965.0,76,25889.0,Low,Undergraduate,yes,no,0,0,2,0,2,11,41,7,11,1,2,0,3,8,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.5,0.3333333333333333,0.0,0.6666666666666666,6
658,Lowest,67,10,Elderly,frequent,14661.0,27,14634.0,Low,Post graduate,yes,no,0,0,4,0,1,11,6,2,2,1,1,0,3,6,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.5,5
659,Lowest,64,11,Elderly,frequent,18690.0,61,18629.0,Low,Graduate,yes,no,0,0,6,0,1,7,23,4,19,1,1,1,2,8,no,no,no,no,no,no,no,0,5,0.2,0.4,0.2,0.2,0.6666666666666666,5
660,Lowest,49,10,MiddleAge,not frequent,45068.0,20,45048.0,Lower middle,Post graduate,yes,yes,1,0,14,1,0,3,0,0,3,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
661,Lowest,36,10,Young,not frequent,21063.0,69,20994.0,Low,Undergraduate,no,no,1,1,1,0,10,11,19,3,15,2,2,0,3,6,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5,7
662,Lowest,55,10,MiddleAge,not frequent,29187.0,34,29153.0,Lower middle,Post graduate,yes,yes,1,1,26,0,0,6,0,0,2,1,1,0,3,8,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.6666666666666666,5
663,Lowest,52,10,MiddleAge,frequent,54690.0,214,54476.0,Lower middle,Graduate,yes,yes,2,1,111,1,16,37,7,9,18,3,3,1,5,3,no,no,no,no,no,no,no,0,12,0.25,0.4166666666666667,0.25,0.08333333333333333,0.25,12
664,Highest economic class,59,10,MiddleAge,frequent,59304.0,1109,58195.0,Upper middle,Post graduate,yes,yes,1,0,418,1,61,428,80,51,10,3,7,8,10,5,no,no,no,no,no,no,no,0,28,0.10714285714285714,0.35714285714285715,0.25,0.2857142857142857,0.4166666666666667,28
665,Low,61,10,MiddleAge,frequent,59247.0,583,58664.0,Upper middle,Post graduate,no,no,2,0,327,2,9,122,19,14,83,5,5,2,9,6,no,no,no,no,no,no,no,0,21,0.23809523809523808,0.42857142857142855,0.23809523809523808,0.09523809523809523,0.5,21
666,Upper middle class,53,11,MiddleAge,not frequent,66731.0,1188,65543.0,Upper middle,Graduate,no,no,1,0,371,1,159,194,58,106,141,4,4,3,6,3,no,no,no,no,no,no,no,0,17,0.23529411764705882,0.35294117647058826,0.23529411764705882,0.17647058823529413,0.25,17
667,Highest economic class,43,10,Young,not frequent,77353.0,729,76624.0,Upper middle,Graduate,yes,yes,1,0,275,1,59,107,69,101,59,2,6,4,8,4,no,no,no,no,no,no,no,0,20,0.1,0.4,0.3,0.2,0.3333333333333333,20
668,Low,48,11,MiddleAge,frequent,52614.0,990,51624.0,Lower middle,Post graduate,no,no,1,0,789,1,0,142,12,9,38,2,2,4,8,8,no,no,no,no,no,no,no,0,16,0.125,0.5,0.125,0.25,0.6666666666666666,16
669,Lowest,49,9,MiddleAge,not frequent,26751.0,12,26739.0,Low,Graduate,yes,yes,2,2,1,0,1,5,0,3,1,1,1,0,2,8,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.6666666666666666,4
670,Lower middle,60,11,MiddleAge,not frequent,81300.0,1253,80047.0,Upper middle,Post graduate,yes,yes,1,0,1004,1,12,145,32,12,36,3,10,3,5,5,no,no,no,yes,no,no,yes,1,21,0.14285714285714285,0.23809523809523808,0.47619047619047616,0.14285714285714285,0.4166666666666667,21
671,Highest economic class,44,9,Young,frequent,70337.0,657,69680.0,Upper middle,Graduate,no,no,0,0,187,0,81,149,25,43,91,1,2,2,12,1,no,no,no,no,no,no,no,0,17,0.058823529411764705,0.7058823529411765,0.11764705882352941,0.11764705882352941,0.08333333333333333,17
672,Low,38,10,Young,not frequent,36145.0,176,35969.0,Lower middle,Graduate,yes,yes,1,1,56,0,4,76,17,1,18,4,4,1,3,9,yes,no,no,no,no,no,yes,1,12,0.3333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.75,12
673,Highest economic class,43,10,Young,not frequent,65295.0,696,64599.0,Upper middle,Post graduate,no,no,0,0,365,0,32,117,34,110,6,1,3,3,13,2,no,no,no,no,no,no,no,0,20,0.05,0.65,0.15,0.15,0.16666666666666666,20
674,Highest economic class,60,10,MiddleAge,frequent,68118.0,951,67167.0,Upper middle,Graduate,no,no,1,0,595,1,23,123,10,23,154,2,8,9,4,6,no,no,no,no,no,no,no,0,23,0.08695652173913043,0.17391304347826086,0.34782608695652173,0.391304347826087,0.5,23
675,Upper middle class,56,11,MiddleAge,frequent,68743.0,2208,66535.0,Upper middle,Graduate,no,no,0,0,1132,0,134,384,175,134,115,1,11,5,13,7,no,no,no,no,no,no,no,0,30,0.03333333333333333,0.43333333333333335,0.36666666666666664,0.16666666666666666,0.5833333333333334,30
676,Highest economic class,41,10,Young,not frequent,41039.0,478,40561.0,Lower middle,Graduate,yes,no,0,0,34,0,11,137,179,61,45,1,8,1,5,8,no,no,no,no,no,no,no,0,15,0.06666666666666667,0.3333333333333333,0.5333333333333333,0.06666666666666667,0.6666666666666666,15
677,Lowest,68,10,Elderly,frequent,38946.0,263,38683.0,Lower middle,Graduate,yes,yes,1,0,116,1,6,82,6,6,41,2,3,1,6,5,no,no,no,no,no,no,no,0,12,0.16666666666666666,0.5,0.25,0.08333333333333333,0.4166666666666667,12
678,Highest economic class,56,10,MiddleAge,frequent,65777.0,1178,64599.0,Upper middle,Graduate,yes,no,0,0,565,0,32,435,28,32,54,1,2,8,6,1,no,no,no,no,no,no,no,0,17,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.47058823529411764,0.08333333333333333,17
679,Highest economic class,47,10,MiddleAge,frequent,66476.0,707,65769.0,Upper middle,Post graduate,no,no,1,0,372,1,18,126,47,48,78,2,5,2,11,4,no,no,no,no,no,no,no,0,20,0.1,0.55,0.25,0.1,0.3333333333333333,20
680,Upper middle class,51,11,MiddleAge,frequent,86857.0,2216,84641.0,High,Post graduate,no,no,0,0,899,0,102,838,133,102,40,1,5,6,10,2,no,no,no,no,no,no,yes,0,22,0.045454545454545456,0.45454545454545453,0.22727272727272727,0.2727272727272727,0.16666666666666666,22
681,Upper middle class,34,9,Young,not frequent,77845.0,1386,76459.0,Upper middle,Post graduate,yes,no,0,0,760,0,40,480,0,40,26,1,3,5,12,1,no,no,yes,yes,no,no,no,2,21,0.047619047619047616,0.5714285714285714,0.14285714285714285,0.23809523809523808,0.08333333333333333,21
682,Highest economic class,54,10,MiddleAge,not frequent,69476.0,1130,68346.0,Upper middle,Post graduate,yes,no,0,0,260,0,86,559,63,9,67,1,4,6,4,2,no,no,no,no,no,no,no,0,15,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.4,0.16666666666666666,15
683,Low,63,11,MiddleAge,frequent,50611.0,493,50118.0,Lower middle,Post graduate,no,no,1,0,459,1,0,24,6,0,4,6,4,5,7,6,no,yes,no,no,no,no,yes,1,22,0.2727272727272727,0.3181818181818182,0.18181818181818182,0.22727272727272727,0.5,22
684,Highest economic class,53,10,MiddleAge,frequent,61209.0,957,60252.0,Upper middle,Graduate,no,no,0,0,466,0,0,224,119,49,99,1,5,3,4,2,no,no,no,no,no,no,no,0,13,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.23076923076923078,0.16666666666666666,13
685,Lowest,65,10,Elderly,frequent,42315.0,285,42030.0,Lower middle,Post graduate,yes,yes,1,0,67,1,15,80,17,11,80,3,1,4,4,3,no,no,no,no,no,no,no,0,12,0.25,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.25,12
686,Lowest,71,10,Elderly,not frequent,13084.0,29,13055.0,Low,Undergraduate,yes,no,0,0,2,0,0,7,3,7,10,1,1,0,3,6,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.5,5
687,Low,74,10,Elderly,not frequent,47570.0,122,47448.0,Lower middle,Post graduate,no,no,2,1,67,1,1,20,0,2,31,3,2,2,2,7,no,no,no,no,no,no,yes,0,9,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5833333333333334,9
688,Lowest,62,10,MiddleAge,frequent,61923.0,130,61793.0,Upper middle,Post graduate,yes,yes,2,0,92,2,4,18,3,3,6,1,2,1,4,3,no,no,no,no,no,no,no,0,8,0.125,0.5,0.25,0.125,0.25,8
689,Lowest,28,9,Young,frequent,34824.0,25,34799.0,Lower middle,Graduate,no,no,0,0,4,0,2,11,2,0,4,1,1,0,2,6,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5,4
690,Lowest,74,10,Elderly,not frequent,26518.0,58,26460.0,Low,Post graduate,no,no,2,1,20,1,1,28,3,3,2,3,2,0,3,8,no,no,no,no,no,no,yes,0,8,0.375,0.375,0.25,0.0,0.6666666666666666,8
691,Highest economic class,62,10,MiddleAge,not frequent,45938.0,647,45291.0,Lower middle,Graduate,no,no,0,0,273,0,11,178,62,83,29,2,8,4,6,6,no,no,no,no,no,no,no,0,20,0.1,0.3,0.4,0.2,0.5,20
692,Upper middle class,63,9,MiddleAge,not frequent,78468.0,1026,77442.0,Upper middle,Graduate,yes,no,0,0,434,0,22,388,104,22,34,1,10,7,10,4,no,no,no,yes,no,no,no,1,28,0.03571428571428571,0.35714285714285715,0.35714285714285715,0.25,0.3333333333333333,28
693,Highest economic class,50,10,MiddleAge,frequent,78901.0,745,78156.0,Upper middle,Graduate,no,no,1,0,321,1,11,309,33,26,34,3,9,3,5,4,no,no,no,no,no,no,no,0,20,0.15,0.25,0.45,0.15,0.3333333333333333,20
694,Highest economic class,45,9,Young,not frequent,71427.0,737,70690.0,Upper middle,Graduate,yes,yes,2,2,212,0,123,177,15,64,23,2,8,2,8,4,no,no,no,no,no,no,no,0,20,0.1,0.4,0.4,0.1,0.3333333333333333,20
695,Highest economic class,45,9,Young,not frequent,71022.0,1465,69557.0,Upper middle,Graduate,no,no,1,0,909,1,12,278,0,12,242,3,5,2,11,8,yes,no,no,no,no,no,no,1,21,0.14285714285714285,0.5238095238095238,0.23809523809523808,0.09523809523809523,0.6666666666666666,21
696,Lower middle,35,9,Young,not frequent,90247.0,1653,88594.0,High,Post graduate,no,no,0,0,1184,0,32,352,21,16,16,1,3,4,7,1,no,yes,yes,yes,no,no,yes,3,15,0.06666666666666667,0.4666666666666667,0.2,0.26666666666666666,0.08333333333333333,15
697,Lowest,55,10,MiddleAge,not frequent,41335.0,206,41129.0,Lower middle,Post graduate,no,no,1,1,112,0,19,21,16,14,5,3,4,1,4,7,no,no,no,no,no,no,no,0,12,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334,12
698,Upper middle class,37,10,Young,frequent,71952.0,1523,70429.0,Upper middle,Graduate,yes,yes,1,1,656,0,80,455,52,107,93,2,8,4,8,4,yes,no,yes,no,no,no,no,2,22,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.3333333333333333,22
699,Lowest,53,9,MiddleAge,not frequent,35682.0,57,35625.0,Lower middle,Post graduate,no,no,1,1,23,0,0,8,6,2,18,1,1,1,3,2,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,6
700,Low,72,10,Elderly,frequent,43185.0,643,42542.0,Lower middle,Graduate,no,no,1,0,537,1,6,42,16,6,30,2,9,3,6,8,no,no,no,no,no,no,no,0,20,0.1,0.3,0.45,0.15,0.6666666666666666,20
701,Low,75,10,Elderly,frequent,66375.0,948,65427.0,Upper middle,Post graduate,yes,yes,1,0,712,1,0,45,0,0,191,3,2,4,5,7,yes,no,no,no,no,no,no,1,14,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.2857142857142857,0.5833333333333334,14
702,Lowest,52,10,MiddleAge,not frequent,35178.0,60,35118.0,Lower middle,Post graduate,yes,yes,1,1,23,0,1,13,2,2,18,1,1,1,2,7,yes,no,no,no,no,no,yes,1,5,0.2,0.4,0.2,0.2,0.5833333333333334,5
703,Lowest,37,10,Young,not frequent,25252.0,21,25231.0,Low,Graduate,yes,yes,1,1,1,0,3,4,2,2,6,1,1,0,2,8,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.6666666666666666,4
704,Highest economic class,58,11,MiddleAge,not frequent,55250.0,961,54289.0,Lower middle,Post graduate,no,no,1,0,664,1,58,83,32,0,66,4,7,5,10,5,no,no,no,no,no,no,no,0,26,0.15384615384615385,0.38461538461538464,0.2692307692307692,0.19230769230769232,0.4166666666666667,26
705,Lowest,48,10,MiddleAge,not frequent,33249.0,122,33127.0,Lower middle,Graduate,no,no,1,1,6,0,10,21,19,14,42,2,2,1,3,6,no,no,no,no,no,no,no,0,8,0.25,0.375,0.25,0.125,0.5,8
706,Highest economic class,70,10,Elderly,not frequent,58398.0,601,57797.0,Upper middle,Graduate,yes,no,0,0,299,0,5,201,21,21,49,3,5,4,8,4,no,no,no,no,no,no,no,0,20,0.15,0.4,0.25,0.2,0.3333333333333333,20
707,Lowest,41,10,Young,frequent,50272.0,246,50026.0,Lower middle,Graduate,yes,yes,1,1,99,0,13,66,43,8,4,3,4,1,5,7,no,no,no,no,no,no,no,0,13,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.07692307692307693,0.5833333333333334,13
708,Upper middle class,48,11,MiddleAge,frequent,76618.0,1551,75067.0,Upper middle,Post graduate,yes,no,0,0,749,0,40,294,121,160,147,1,3,2,5,1,no,no,no,no,no,no,no,0,11,0.09090909090909091,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.08333333333333333,11
709,Upper middle class,63,11,MiddleAge,not frequent,87305.0,1177,86128.0,High,Graduate,no,no,0,0,345,0,25,501,63,138,80,1,5,3,8,2,no,no,yes,no,no,no,yes,1,17,0.058823529411764705,0.47058823529411764,0.29411764705882354,0.17647058823529413,0.16666666666666666,17
710,Lowest,45,10,Young,not frequent,25851.0,52,25799.0,Low,Graduate,yes,yes,1,1,9,0,4,18,7,5,5,2,2,0,3,7,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.5833333333333334,7
711,Highest economic class,53,10,MiddleAge,frequent,58710.0,1266,57444.0,Upper middle,Graduate,no,no,1,0,440,1,81,368,0,122,174,6,11,5,9,6,no,no,no,no,no,no,no,0,31,0.1935483870967742,0.2903225806451613,0.3548387096774194,0.16129032258064516,0.5,31
712,Lowest,65,9,Elderly,not frequent,45160.0,23,45137.0,Lower middle,Graduate,no,no,2,1,8,1,2,5,3,0,3,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
713,Highest economic class,58,11,MiddleAge,not frequent,74806.0,974,73832.0,Upper middle,Post graduate,yes,yes,1,0,670,1,9,249,0,28,9,2,5,4,5,4,no,no,no,no,no,no,no,0,16,0.125,0.3125,0.3125,0.25,0.3333333333333333,16
714,Highest economic class,69,10,Elderly,frequent,59111.0,869,58242.0,Upper middle,Graduate,yes,no,0,0,524,0,0,134,28,28,155,1,11,1,8,7,no,no,no,no,no,no,no,0,21,0.047619047619047616,0.38095238095238093,0.5238095238095238,0.047619047619047616,0.5833333333333334,21
715,Lowest,39,9,Young,not frequent,18988.0,16,18972.0,Low,Post graduate,yes,yes,1,1,6,0,0,6,2,1,1,2,1,0,3,7,no,no,no,no,no,no,no,0,6,0.3333333333333333,0.5,0.16666666666666666,0.0,0.5833333333333334,6
716,Upper middle class,58,10,MiddleAge,frequent,72190.0,2113,70077.0,Upper middle,Graduate,yes,no,0,0,597,0,166,597,172,166,249,1,5,6,4,3,no,no,no,no,no,no,no,0,16,0.0625,0.25,0.3125,0.375,0.25,16
717,Low,47,11,MiddleAge,not frequent,7500.0,71,7429.0,Low,Graduate,yes,yes,1,1,7,0,0,12,13,7,32,5,4,1,2,9,yes,no,no,no,no,no,yes,1,12,0.4166666666666667,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.75,12
718,Lowest,57,9,MiddleAge,frequent,44794.0,65,44729.0,Lower middle,Graduate,yes,yes,1,0,54,1,0,7,0,0,4,1,2,0,3,6,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.5,0.3333333333333333,0.0,0.5,6
719,Upper middle class,68,10,Elderly,frequent,80395.0,1405,78990.0,Upper middle,Graduate,yes,no,0,0,445,0,25,706,80,76,48,1,6,5,12,2,no,no,no,yes,no,no,no,1,24,0.041666666666666664,0.5,0.25,0.20833333333333334,0.16666666666666666,24
720,Upper middle class,47,9,MiddleAge,not frequent,75012.0,1169,73843.0,Upper middle,Post graduate,no,no,0,0,294,0,142,218,164,58,151,1,3,8,11,1,no,no,no,no,no,no,no,0,23,0.043478260869565216,0.4782608695652174,0.13043478260869565,0.34782608695652173,0.08333333333333333,23
721,Low,58,10,MiddleAge,frequent,56962.0,414,56548.0,Upper middle,Post graduate,yes,yes,3,2,292,1,3,77,10,3,26,7,6,3,5,7,no,no,no,no,no,no,no,0,21,0.3333333333333333,0.23809523809523808,0.2857142857142857,0.14285714285714285,0.5833333333333334,21
722,Upper middle class,32,10,Young,not frequent,89891.0,858,89033.0,High,Graduate,yes,no,0,0,412,0,22,132,59,28,183,1,11,6,8,4,no,no,yes,no,no,no,no,1,26,0.038461538461538464,0.3076923076923077,0.4230769230769231,0.23076923076923078,0.3333333333333333,26
723,Lowest,74,10,Elderly,not frequent,35946.0,11,35935.0,Lower middle,Post graduate,no,no,2,1,8,1,0,3,0,0,0,1,0,0,3,5,no,no,no,no,no,no,no,0,4,0.25,0.75,0.0,0.0,0.4166666666666667,4
724,Low,70,11,Elderly,frequent,53593.0,484,53109.0,Lower middle,Post graduate,yes,yes,2,1,349,1,4,78,6,0,43,8,7,2,6,8,no,no,no,no,no,no,no,0,23,0.34782608695652173,0.2608695652173913,0.30434782608695654,0.08695652173913043,0.6666666666666666,23
725,Highest economic class,45,10,Young,frequent,66373.0,615,65758.0,Upper middle,Graduate,yes,yes,2,1,328,1,9,124,12,24,109,7,4,2,10,3,no,no,no,no,no,no,no,0,23,0.30434782608695654,0.43478260869565216,0.17391304347826086,0.08695652173913043,0.25,23
726,Low,75,10,Elderly,frequent,45072.0,286,44786.0,Lower middle,Post graduate,no,no,3,1,144,2,2,99,7,2,30,5,6,1,4,8,no,no,no,no,no,no,no,0,16,0.3125,0.25,0.375,0.0625,0.6666666666666666,16
727,Lower middle,50,10,MiddleAge,not frequent,89694.0,1500,88194.0,High,Graduate,no,no,2,1,1126,1,28,211,37,28,42,3,4,3,4,5,no,yes,yes,yes,no,no,no,3,14,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.4166666666666667,14
728,Lower middle,74,9,Elderly,not frequent,72025.0,1677,70348.0,Upper middle,Graduate,yes,no,0,0,967,0,0,617,43,50,0,1,4,8,13,2,no,yes,yes,yes,no,no,yes,3,26,0.038461538461538464,0.5,0.15384615384615385,0.3076923076923077,0.16666666666666666,26
729,Upper middle class,50,10,MiddleAge,frequent,67432.0,1414,66018.0,Upper middle,Graduate,yes,yes,1,0,432,1,79,341,177,136,170,2,8,5,4,4,no,no,no,no,no,no,no,0,19,0.10526315789473684,0.21052631578947367,0.42105263157894735,0.2631578947368421,0.3333333333333333,19
730,Highest economic class,71,9,Elderly,not frequent,70545.0,373,70172.0,Upper middle,Post graduate,yes,yes,1,0,138,1,39,63,55,18,21,1,4,1,7,2,no,no,no,no,no,no,no,0,13,0.07692307692307693,0.5384615384615384,0.3076923076923077,0.07692307692307693,0.16666666666666666,13
731,Lowest,34,10,Young,not frequent,17487.0,18,17469.0,Low,Undergraduate,yes,yes,1,1,0,0,0,1,7,4,6,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
732,Highest economic class,54,11,MiddleAge,not frequent,62882.0,1471,61411.0,Upper middle,Graduate,yes,yes,1,0,509,1,133,497,78,24,97,2,7,5,6,4,no,no,no,no,no,no,no,0,20,0.1,0.3,0.35,0.25,0.3333333333333333,20
733,Highest economic class,70,10,Elderly,not frequent,64108.0,1109,62999.0,Upper middle,Post graduate,no,no,1,0,948,1,10,86,13,21,21,4,6,9,11,5,no,no,no,no,no,no,no,0,30,0.13333333333333333,0.36666666666666664,0.2,0.3,0.4166666666666667,30
734,Lowest,67,10,Elderly,not frequent,34941.0,99,34842.0,Lower middle,Post graduate,yes,yes,2,1,39,1,2,25,4,3,24,2,3,0,3,8,no,no,no,no,no,no,no,0,8,0.25,0.375,0.375,0.0,0.6666666666666666,8
735,Lowest,73,9,Elderly,frequent,48767.0,64,48703.0,Lower middle,Post graduate,no,no,3,1,28,2,1,21,3,0,10,3,2,1,3,5,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.4166666666666667,9
736,Lowest,45,10,Young,frequent,38702.0,120,38582.0,Lower middle,Graduate,yes,yes,1,1,13,0,11,24,13,8,40,2,3,0,4,6,no,no,no,no,no,no,no,0,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.5,9
737,Upper middle class,59,9,MiddleAge,frequent,82224.0,928,81296.0,Upper middle,Graduate,yes,no,0,0,307,0,26,360,138,31,40,1,6,9,5,3,no,no,no,yes,no,no,no,1,21,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.42857142857142855,0.25,21
738,Upper middle class,71,10,Elderly,frequent,83844.0,1605,82239.0,Upper middle,Graduate,yes,no,0,0,901,0,31,345,75,31,191,1,4,4,11,1,no,no,yes,no,no,no,no,1,20,0.05,0.55,0.2,0.2,0.08333333333333333,20
739,Lowest,48,10,MiddleAge,not frequent,17003.0,43,16960.0,Low,Graduate,yes,yes,1,1,2,0,5,12,4,8,7,3,2,0,4,5,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.4166666666666667,9
740,Upper middle class,28,9,Young,not frequent,71163.0,977,70186.0,Upper middle,Graduate,no,no,0,0,283,0,17,372,138,106,44,1,3,8,12,1,no,no,no,no,no,no,no,0,24,0.041666666666666664,0.5,0.125,0.3333333333333333,0.08333333333333333,24
741,Lowest,53,10,MiddleAge,not frequent,33697.0,31,33666.0,Lower middle,Graduate,no,no,1,1,4,0,3,7,0,3,11,1,1,0,2,7,yes,no,no,no,no,no,no,1,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
742,Lower middle,69,9,Elderly,not frequent,63564.0,1295,62269.0,Upper middle,Graduate,yes,no,0,0,769,0,80,252,15,34,65,1,10,10,7,6,yes,no,no,no,no,no,yes,1,28,0.03571428571428571,0.25,0.35714285714285715,0.35714285714285715,0.5,28
743,Upper middle class,51,10,MiddleAge,frequent,83443.0,1539,81904.0,Upper middle,Post graduate,yes,no,0,0,518,0,42,742,55,56,84,1,6,10,5,2,no,no,no,no,no,no,no,0,22,0.045454545454545456,0.22727272727272727,0.2727272727272727,0.45454545454545453,0.16666666666666666,22
744,Highest economic class,65,10,Elderly,frequent,51518.0,457,51061.0,Lower middle,Post graduate,yes,yes,1,0,350,1,8,66,17,4,4,2,3,2,10,3,no,no,no,no,no,no,no,0,17,0.11764705882352941,0.5882352941176471,0.17647058823529413,0.11764705882352941,0.25,17
745,Upper middle class,48,10,MiddleAge,frequent,58330.0,1117,57213.0,Upper middle,Graduate,no,no,1,0,445,1,53,213,104,98,151,1,6,4,13,4,no,no,no,no,no,no,no,0,24,0.041666666666666664,0.5416666666666666,0.25,0.16666666666666666,0.3333333333333333,24
746,Lower middle,54,10,MiddleAge,not frequent,80952.0,1935,79017.0,Upper middle,Graduate,yes,no,0,0,778,0,178,689,41,27,44,1,8,5,11,8,no,yes,yes,yes,no,no,yes,3,25,0.04,0.44,0.32,0.2,0.6666666666666666,25
747,Upper middle class,44,9,Young,frequent,75507.0,1533,73974.0,Upper middle,Graduate,yes,no,0,0,709,0,93,374,104,80,80,1,8,6,6,3,no,no,no,no,no,no,no,0,21,0.047619047619047616,0.2857142857142857,0.38095238095238093,0.2857142857142857,0.25,21
748,Upper middle class,45,10,Young,not frequent,63855.0,1041,62814.0,Upper middle,Graduate,yes,no,0,0,359,0,35,314,93,116,89,1,7,3,13,4,no,no,no,no,no,no,no,0,24,0.041666666666666664,0.5416666666666666,0.2916666666666667,0.125,0.3333333333333333,24
749,Low,51,11,MiddleAge,frequent,62220.0,1238,60982.0,Upper middle,Post graduate,yes,yes,1,0,799,1,12,375,16,12,12,5,7,6,5,6,no,no,no,no,no,no,yes,0,23,0.21739130434782608,0.21739130434782608,0.30434782608695654,0.2608695652173913,0.5,23
750,Low,59,10,MiddleAge,not frequent,58512.0,1181,57331.0,Upper middle,Graduate,yes,yes,1,0,895,1,10,101,13,0,152,5,3,4,8,8,no,no,no,no,no,no,no,0,20,0.25,0.4,0.15,0.2,0.6666666666666666,20
751,Lowest,44,10,Young,not frequent,40662.0,94,40568.0,Lower middle,Post graduate,yes,yes,1,1,40,0,2,23,0,4,23,2,2,1,3,4,no,no,no,no,no,no,no,0,8,0.25,0.375,0.25,0.125,0.3333333333333333,8
752,Lowest,64,9,Elderly,frequent,38829.0,99,38730.0,Lower middle,Post graduate,yes,yes,1,0,76,1,0,7,0,0,16,1,3,2,2,5,no,no,no,no,no,no,no,0,8,0.125,0.25,0.375,0.25,0.4166666666666667,8
753,Lowest,42,10,Young,not frequent,35523.0,71,35452.0,Lower middle,Graduate,yes,yes,1,1,11,0,5,22,12,5,11,2,3,0,3,7,no,no,no,no,no,no,no,0,8,0.25,0.375,0.375,0.0,0.5833333333333334,8
754,Highest economic class,56,9,MiddleAge,not frequent,79146.0,580,78566.0,Upper middle,Graduate,no,no,2,1,245,1,16,223,21,43,16,2,8,1,8,6,no,no,no,no,no,no,no,0,19,0.10526315789473684,0.42105263157894735,0.42105263157894735,0.05263157894736842,0.5,19
755,Upper middle class,35,10,Young,not frequent,78285.0,1534,76751.0,Upper middle,Post graduate,yes,no,0,0,647,0,107,391,175,67,40,1,6,4,10,3,no,no,no,no,no,no,no,0,21,0.047619047619047616,0.47619047619047616,0.2857142857142857,0.19047619047619047,0.25,21
